Timestamp,CAN_ID_Hex,CAN_ID_Dec,ECU,DLC,Data_Hex,Data_Bytes,Bus_Load_%
18:51:15.808,0x200,512,ABS,8,01 01 00 01 00 00 00 00,"[1, 1, 0, 1, 0, 0, 0, 0]",0.0
18:51:16.355,0x100,256,ENGINE,8,02 FB 00 00 00 00 00 00,"[2, 251, 0, 0, 0, 0, 0, 0]",0.0
18:51:16.930,0x100,256,ENGINE,8,02 FB 00 00 00 00 00 00,"[2, 251, 0, 0, 0, 0, 0, 0]",0.43
18:51:17.480,0x200,512,ABS,8,00 00 00 01 00 00 00 00,"[0, 0, 0, 1, 0, 0, 0, 0]",0.43
18:51:18.032,0x100,256,ENGINE,8,02 FB 00 00 00 00 00 00,"[2, 251, 0, 0, 0, 0, 0, 0]",0.32
18:51:18.908,0x100,256,ENGINE,8,02 FB 00 00 00 00 00 00,"[2, 251, 0, 0, 0, 0, 0, 0]",0.32
18:51:19.580,0x200,512,ABS,8,01 01 00 00 00 00 00 00,"[1, 1, 0, 0, 0, 0, 0, 0]",0.21
18:51:20.241,0x100,256,ENGINE,8,02 FB 00 00 00 00 00 00,"[2, 251, 0, 0, 0, 0, 0, 0]",0.21
18:51:20.804,0x600,1536,MOTOR,8,00 00 00 1E 00 00 00 00,"[0, 0, 0, 30, 0, 0, 0, 0]",0.3
18:51:21.241,0x900,2304,REGEN_BRAKE,8,00 00 00 00 00 00 00 00,"[0, 0, 0, 0, 0, 0, 0, 0]",0.3
18:51:21.802,0x300,768,AIRBAG,8,01 01 01 00 FF 00 00 00,"[1, 1, 1, 0, 255, 0, 0, 0]",0.39
18:51:22.469,0x100,256,ENGINE,8,02 FB 00 00 00 00 00 00,"[2, 251, 0, 0, 0, 0, 0, 0]",0.39
18:51:23.028,0x200,512,ABS,8,01 01 00 01 00 00 00 00,"[1, 1, 0, 1, 0, 0, 0, 0]",0.28
18:51:23.795,0x100,256,ENGINE,8,02 FB 00 00 00 00 00 00,"[2, 251, 0, 0, 0, 0, 0, 0]",0.28
18:51:24.282,0x200,512,ABS,8,00 01 00 00 00 00 00 00,"[0, 1, 0, 0, 0, 0, 0, 0]",0.28
18:51:24.839,0x400,1024,TRANSMISSION,8,01 03 00 00 00 00 00 00,"[1, 3, 0, 0, 0, 0, 0, 0]",0.36
18:51:25.340,0x201,513,ABS,8,00 00 00 00 00 00 00 00,"[0, 0, 0, 0, 0, 0, 0, 0]",0.36
18:51:25.846,0x100,256,ENGINE,8,03 3D 00 00 00 00 00 00,"[3, 61, 0, 0, 0, 0, 0, 0]",0.38
18:51:26.459,0x400,1024,TRANSMISSION,8,01 03 00 00 00 00 00 00,"[1, 3, 0, 0, 0, 0, 0, 0]",0.38
18:51:26.957,0x100,256,ENGINE,8,03 DE 04 00 00 00 00 00,"[3, 222, 4, 0, 0, 0, 0, 0]",0.32
18:51:27.512,0x100,256,ENGINE,8,04 28 06 00 00 00 00 00,"[4, 40, 6, 0, 0, 0, 0, 0]",0.32
18:51:28.074,0x501,1281,BMS,8,1D 1B 1C 00 00 00 00 00,"[29, 27, 28, 0, 0, 0, 0, 0]",0.36
18:51:28.633,0x100,256,ENGINE,8,04 D8 0A 00 00 00 00 00,"[4, 216, 10, 0, 0, 0, 0, 0]",0.34
18:51:29.124,0x600,1536,MOTOR,8,01 EF 39 29 01 00 00 00,"[1, 239, 57, 41, 1, 0, 0, 0]",0.34
18:51:29.791,0x100,256,ENGINE,8,05 79 0D 00 00 00 00 00,"[5, 121, 13, 0, 0, 0, 0, 0]",0.36
18:51:30.339,0x200,512,ABS,8,0E 0F 0E 10 00 00 00 00,"[14, 15, 14, 16, 0, 0, 0, 0]",0.36
18:51:30.733,0x200,512,ABS,8,11 11 0F 10 00 00 00 00,"[17, 17, 15, 16, 0, 0, 0, 0]",0.32
18:51:31.298,0x200,512,ABS,8,12 12 13 13 00 00 00 00,"[18, 18, 19, 19, 0, 0, 0, 0]",0.32
18:51:31.857,0x800,2048,HYBRID_CTRL,8,01 00 01 00 00 00 00 00,"[1, 0, 1, 0, 0, 0, 0, 0]",0.38
18:51:32.471,0x600,1536,MOTOR,8,03 B1 33 28 01 00 00 00,"[3, 177, 51, 40, 1, 0, 0, 0]",0.38
18:51:33.035,0x100,256,ENGINE,8,07 4E 18 00 00 00 00 00,"[7, 78, 24, 0, 0, 0, 0, 0]",0.32
18:51:33.530,0x200,512,ABS,8,1A 19 19 19 00 00 00 00,"[26, 25, 25, 25, 0, 0, 0, 0]",0.32
18:51:34.141,0x100,256,ENGINE,8,07 EF 1B 00 00 00 00 00,"[7, 239, 27, 0, 0, 0, 0, 0]",0.36
